geohome,geowork,likeIrpin,likeVishneve,likeBucha,likeVorzel,likeKocubinske,likeBoyarka,likeBrovary,likeBoryspil,likeVyshgorod,comments,liveSuburb,liveOkolica,isGoodWorkLocation,age,isRented,job,liveHouse,isInvestor,isActivist,isFreeAppartmentImportant,
50.4301|30.5403,50.4302|30.5983,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Скоріше ні,Скоріше ні,32,Так,Software Developer,Так,Важко відповісти,Важко відповісти,Скоріше так,
,,Нормальне,Погане,Погане,Нормальне,Нормальне,Погане,Погане,Погане,Нормальне,,Скоріше ні,Скоріше так,Так,28,Так,Software Developer,Так,Скоріше так,Ні,Скоріше ні,
50.4627|30.4318,50.4236|30.5044,Нормальне,Погане,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Погане,Погане,Погане,,Так,Так,Скоріше так,31,Так,Software Developer,Так,Скоріше так,Скоріше так,Ні,
,,,,,,,,,,,,Ні,Ні,Скоріше так,28,Так,BA/QA,Так,Ні,Ні,Ні,
50.5207|30.2377,50.3963|30.4777,Найкраще,Нормальне,Нормальне,Погане,Нормальне,Погане,Погане,Погане,Найкраще,,Скоріше так,Так,Скоріше так,26,Ні,Software Developer,Так,Ні,Скоріше так,Ні,
48.5103|32.2647,48.5103|32.2647,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,,Скоріше так,Скоріше так,Так,26,Скоріше так,Software Developer,Так,Скоріше так,Скоріше так,Так,
,,Нормальне,Погане,Найкраще,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Найкраще,,Так,Так,Так,34,Так,Software Developer,Скоріше ні,Скоріше ні,Ні,Скоріше так,
48.4614|35.0595,48.4614|35.0595,,,,,,,,,,,Скоріше ні,Скоріше ні,Так,32,Ні,Project/Account Manager,Скоріше так,Ні,Скоріше ні,Скоріше ні,
49.8676|24.0237,49.8371|23.9838,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,Lviv,Ні,Ні,Ні,34,Скоріше так,Software Developer,Ні,Ні,Ні,Ні,
49.8043|23.9985,49.8429|23.9982,,,,,,,,,,Давно пора ,-),Так,Так,Скоріше ні,28,Так,BA/QA,Так,Так,Так,Так
50.3841|30.4579,50.4621|30.4345,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Нет,Скоріше так,Скоріше так,Ні,28,Ні,Software Developer,Так,Ні,Ні,Скоріше так,
50.3949|30.3600,50.4466|30.4225,Нормальне,Найкраще,Нормальне,Нормальне,Нормальне,Найкраще,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Ні,48,Ні,Software Developer,Так,Скоріше ні,Так,Скоріше так,
49.8473|24.0312,49.7767|24.0124,,,,,,,,,,,Скоріше ні,Так,Так,25,Ні,Software Developer,Так,Скоріше так,Скоріше так,Скоріше ні,
50.5145|30.2347,50.4474|30.5220,Найкраще,Найкраще,Нормальне,Нормальне,Нормальне,Погане,Погане,Погане,Нормальне,,Так,Так,Ні,43,Ні,Software Developer,Так,Ні,Скоріше так,Так,
46.4795|30.7235,46.4828|30.7357,Погане,Найкраще,Найкраще,Погане,Погане,Погане,Нормальне,Погане,Найкраще,"Киев вызывает усталость, а его города-спутники похожи на сёла с сельскими понаехами. Подумайте над Львовом и Одессой. Туда поедут из-за гор и моря, если бы инфраструктура была похожей на киевскую. Но она объективно хуже что там, что там. Оптимальное население для жизни - 1 млн человек. Трехмиллионный Киев с его сёлами в чистом поле среди пробок для айти ненужен. ",Ні,Скоріше ні,Так,25,Так,Software Developer,Скоріше так,Скоріше ні,Скоріше ні,Скоріше ні,
,,Погане,Нормальне,Погане,Погане,Нормальне,Нормальне,Погане,Нормальне,Погане,,Ні,Так,Ні,24,Ні,Software Developer,Так,Так,Так,Ні,
50.4329|30.5138,50.4350|30.4848,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Скоріше так,Ні,Скоріше так,24,Так,Software Developer,Так,Важко відповісти,Скоріше так,Ні,
50.2608|28.7010,50.2481|28.6868,Нормальне,Погане,Нормальне,Нормальне,Нормальне,Погане,Погане,Нормальне,Погане,,Так,Так,Скоріше так,37,Ні,Software Developer,Так,Ні,Ні,Ні,
50.2849|31.7665,50.4719|30.4666,,,,,,,,,,,Так,Скоріше так,Скоріше ні,27,Ні,Інша ІТ спеціальність,Ні,Ні,Так,Так,
,,Нормальне,Погане,Нормальне,Нормальне,Погане,Погане,Погане,Погане,Найкраще,,Ні,Скоріше ні,Скоріше так,25,Так,Software Developer,Так,Скоріше так,Скоріше так,Ні,
49.8071|23.9892,49.8380|24.0087,,,,,,,,,,,Скоріше так,Скоріше так,Так,20,Ні,Software Developer,Скоріше так,Ні,Скоріше ні,Важко відповісти,
50.4347|30.6065,50.4077|30.5124,Погане,Нормальне,Важко відповісти,Важко відповісти,Нормальне,Важко відповісти,Нормальне,Найкраще,Нормальне,,Так,Так,Скоріше так,25,Ні,BA/QA,Так,Ні,Ні,Так,
49.8171|23.9862,49.8612|24.0506,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Ні,Так,Скоріше ні,27,Ні,BA/QA,Ні,Ні,Ні,Ні,
50.4903|30.4747,50.4405|30.5200,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,Нормальне,Найкраще,"В эти ваши мистэчка еще надо норм тырнет и места где пожрать, не говоря уже о транспорте.",Скоріше так,Ні,Так,26,Важко відповісти,Software Developer,Так,Ні,Ні,Скоріше так,
50.4841|30.4520,50.4505|30.4684,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Важко відповісти,Скоріше ні,26,Так,Software Developer,Так,Скоріше так,Скоріше ні,Скоріше так,
50.5114|30.4981,,,,,,,,,,,,Ні,Ні,Так,26,Так,Software Developer,Ні,Скоріше ні,Ні,Скоріше ні,
,50.4890|30.5221,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,36,Так,Software Developer,Ні,Ні,Ні,Ні,
50.4059|30.3250,50.4579|30.4898,Погане,Найкраще,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Так,Так,Скоріше ні,34,Так,Software Developer,Так,Так,Так,Так,
50.4695|30.4450,50.4554|30.5161,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Погане,Важко відповісти,,Скоріше так,Скоріше ні,Скоріше так,26,Так,Software Developer,Так,Так,Так,Скоріше так,
50.5440|30.2193,50.4631|30.4522,,,,,,,,,,"Ірпінь,Буча,Ворзель - великі проблеми з енергозабезпеченням, інтернетом; вся область - вода дуже погана, її питною ніяк не можна вважати",Так,Так,Скоріше так,54,Ні,Software Developer,Ні,Ні,Ні,Так,
49.8248|24.0152,49.8322|23.9964,,,,,,,,,,,Ні,Ні,Так,36,Так,Інша ІТ спеціальність,Скоріше так,Скоріше так,Скоріше так,Так,
48.4230|35.0283,48.4516|35.0702,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Ні,Так,21,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.4412|30.5017,50.4519|30.5112,,,,,,,,,,,Так,Ні,Так,26,Так,Software Developer,Скоріше так,Важко відповісти,Скоріше так,Скоріше так,
Киев,Шулявка,Нормальне,Погане,Нормальне,Важко відповісти,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Погане,,Так,Скоріше так,Скоріше так,33,Ні,Software Developer,Так,Скоріше ні,Скоріше ні,Скоріше так,
49.8344|23.9976,49.8203|23.9999,,,,,,,,,,,Так,Скоріше ні,Ні,29,Так,BA/QA,Так,Скоріше ні,Скоріше так,Так,
50.0380|36.2148,50.0332|36.2174,,,,,,,,,,,Ні,Скоріше ні,Так,28,Ні,Software Developer,Ні,Так,Скоріше ні,Так,
50.4380|30.5001,50.4393|30.4964,Погане,Погане,Погане,Погане,Нормальне,Погане,Погане,Погане,Погане,,Скоріше ні,Скоріше так,Так,31,Так,Software Developer,Важко відповісти,Ні,Скоріше ні,Так,
50.4714|30.4153,50.4477|30.4240,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Скоріше так,Скоріше так,24,Так,Software Developer,Так,Важко відповісти,Важко відповісти,Скоріше так,
kyiv,,Найкраще,Найкраще,Найкраще,Найкраще,Найкраще,Найкраще,Найкраще,Найкраще,Найкраще,,Так,Так,Ні,31,Ні,Software Developer,Так,Так,Так,Так,
,,Погане,Нормальне,Погане,Погане,Погане,Погане,Погане,Найкраще,Погане,,Так,Так,Скоріше так,36,Ні,Software Developer,Так,Так,Так,Скоріше так,
,,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,Погане,Погане,Пуховка,Так,Так,Скоріше ні,35,Ні,BA/QA,Так,Ні,Ні,Ні,
49.8063|23.9897,49.8316|23.9967,,,,,,,,,,,Так,Так,Так,29,Так,Software Developer,Так,Скоріше так,Так,Так,
50.3934|30.4989,50.4652|30.5120,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,Важко відповісти,Найкраще,Важко відповісти,Нормальне,,Так,Скоріше так,Скоріше так,30,Ні,Software Developer,Скоріше ні,Скоріше так,Скоріше так,Скоріше так,
49.7769|23.9043,49.8326|23.9962,,,,,,,,,,,Скоріше так,Так,Скоріше так,24,Ні,Software Developer,Так,Скоріше ні,Скоріше ні,Так,
49.8366|24.0194,49.8329|23.9977,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше так,Ні,Так,25,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Скоріше ні,
50.3809|30.3820,50.4516|30.5180,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Нормальне,Погане,Погане,Важко відповісти,Важко відповісти,,Так,Так,Ні,24,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Ні,
50.3857|30.4582,50.4846|30.4850,Нормальне,Важко відповісти,Найкраще,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше ні,Важко відповісти,Ні,28,Ні,Software Developer,Так,Ні,Скоріше ні,Ні,
50.4119|30.3896,50.4119|30.3896,,,,,,,,,,,Скоріше так,Важко відповісти,Так,20,Ні,Software Developer,Скоріше так,Скоріше так,Скоріше так,Скоріше так,
50.4470|30.4342,50.4422|30.5327,Погане,Погане,Найкраще,Найкраще,Погане,Погане,Нормальне,Погане,Нормальне,,Так,Так,Ні,28,Ні,Інша ІТ спеціальність,Так,Скоріше так,Скоріше ні,Так,
50.4645|30.4874,50.4476|30.4230,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Погане,Погане,Погане,Погане,Важко відповісти,,Так,Так,Скоріше так,27,Так,Software Developer,Скоріше так,Скоріше так,Скоріше ні,Важко відповісти,
50.4837|30.4541,50.4449|30.4507,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,-,Так,Так,Так,28,Так,BA/QA,Так,Важко відповісти,Скоріше так,Скоріше так,
59.3843|18.0416,59.3878|18.0478,,,,,,,,,,,Так,Так,Так,41,Так,Software Developer,Скоріше так,Ні,Скоріше так,Ні,
50.3912|30.6477,50.4571|30.5167,Найкраще,Нормальне,Нормальне,Важко відповісти,Важко відповісти,Погане,Нормальне,Нормальне,Найкраще,,Так,Так,Ні,26,Ні,Інша ІТ спеціальність,Так,Так,Так,Так,
50.4251|30.5184,50.3934|30.4789,Найкраще,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Погане,Погане,Важко відповісти,,Скоріше так,Скоріше так,Скоріше ні,25,Так,BA/QA,Скоріше ні,Скоріше ні,Скоріше так,Скоріше так,
50.0070|36.2135,50.0310|36.3428,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Если бы IT индустрия взялкась за постройку городков типа кремниевой долины и т.д. - было бы классно,Скоріше так,Скоріше ні,Ні,22,Ні,Project/Account Manager,Скоріше так,Ні,Важко відповісти,Важко відповісти,
50.4102|30.6276,50.4310|30.4902,Важко відповісти,Нормальне,Нормальне,Важко відповісти,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,,Так,Так,Ні,28,Ні,Project/Account Manager,Так,Скоріше так,Скоріше так,Так,
,,Погане,Погане,Погане,Погане,Погане,Погане,,Погане,Погане,,Так,Скоріше ні,Так,31,Скоріше ні,Software Developer,Так,Скоріше так,Скоріше так,Так,
46.5911|30.7876,46.4688|30.7125,,,,,,,,,,,Скоріше так,Так,Скоріше ні,27,Ні,Software Developer,Так,Важко відповісти,Скоріше ні,Важко відповісти,
"50.025167, 36.338735","50.002339, 36.272136",,,,,,,,,,,Так,Скоріше так,Скоріше так,24,Так,Software Developer,Так,Ні,Ні,Так,
50.4377|30.3494,50.4304|30.4874,Нормальне,Найкраще,Нормальне,Погане,Погане,Погане,Погане,Погане,Погане,,Так,Так,Скоріше ні,28,Ні,Software Developer,Так,Так,Так,Так,
,,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Найкраще,Найкраще,Найкраще,,Важко відповісти,Скоріше ні,Скоріше так,30,Так,Software Developer,Так,Скоріше так,Скоріше так,Скоріше так,
49.8318|24.0391,49.8087|24.0180,,,,,,,,,,,Скоріше так,Ні,Скоріше так,22,Ні,Software Developer,Так,Скоріше так,Скоріше так,Скоріше ні,
50.4358|30.4690,50.4300|30.5085,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Нормальне,Погане,Нормальне,,Так,Так,Скоріше так,28,Так,Software Developer,Так,Так,Так,Так,
50.4444|30.6175,50.4623|30.5998,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,Нормальне,Нормальне,,Скоріше ні,Скоріше так,Скоріше так,20,Ні,Спеціальність не пов'язана з ІТ,Так,Скоріше ні,Скоріше так,Ні,
50.0344|36.2208,50.0159|36.2264,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше ні,Ні,Так,28,Так,Інша ІТ спеціальність,Ні,Ні,Скоріше так,Скоріше ні,
50.3860|30.4677,50.4222|30.5061,Найкраще,Погане,Найкраще,Найкраще,Нормальне,Важко відповісти,Нормальне,Погане,Нормальне,Одесское направление (ближе к Теремкам),Так,Так,Скоріше ні,31,Так,BA/QA,Скоріше так,Скоріше так,Скоріше так,Так,
50.4453|30.5990,50.4453|30.5990,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Ні,Ні,Так,25,Так,Software Developer,Ні,Скоріше ні,Ні,Ні,
,,Нормальне,Найкраще,Нормальне,Погане,Погане,Нормальне,Погане,Погане,Нормальне,,Скоріше так,Скоріше ні,Так,26,Так,Software Developer,Скоріше ні,Скоріше ні,Ні,Скоріше ні,
50.4508|30.4493,50.4528|30.4539,Нормальне,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Нормальне,,Скоріше так,Скоріше так,Так,24,Так,Software Developer,Так,Так,Скоріше так,Скоріше ні,
49.8387|23.9701,49.8116|23.9918,,,,,,,,,,,Так,Так,Так,33,Так,Software Developer,Так,Так,Так,Скоріше так,
50.5108|30.5001,50.5108|30.5001,Найкраще,Найкраще,Нормальне,Нормальне,Нормальне,Нормальне,Найкраще,Нормальне,Найкраще,,Скоріше так,Скоріше так,Скоріше так,30,Так,BA/QA,Скоріше так,Скоріше так,Так,Так,
49.8133|24.0166,49.8201|24.0082,,,,,,,,,,,Скоріше ні,Так,Так,25,Так,Software Developer,Скоріше так,Скоріше ні,Так,Так,
50.4747|30.4380,50.4747|30.4380,,,,,,,,,,,Скоріше ні,Скоріше так,Так,26,Так,Software Developer,Скоріше так,Ні,Скоріше ні,Скоріше так,
50.4355|30.4622,50.4314|30.4876,Найкраще,Нормальне,Нормальне,Погане,Нормальне,Погане,Нормальне,Нормальне,Найкраще,,Скоріше так,Скоріше так,Так,30,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.0141|36.3354,49.9755|36.2951,,,,,,,,,,,Ні,Скоріше ні,Ні,26,Ні,Software Developer,Так,Скоріше ні,Скоріше так,Скоріше ні,
50.4650|30.4320,50.4505|30.4130,,,,,,,,,,,Ні,Ні,Скоріше так,26,Так,Інша ІТ спеціальність,Ні,Ні,Скоріше так,Скоріше так,
"50.4485905,30.5258137","50.4416216,30.423246",Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Скоріше так,25,Так,BA/QA,Скоріше так,Так,Скоріше так,Так,
Днiпро,48.5148|35.0071,,,,,,,,,,удаленная работа - самый удобный вид деятельности.,Так,Так,Так,38,Так,Software Developer,Так,Важко відповісти,Скоріше так,Скоріше так,
48.4739|35.0241,48.4576|35.0605,,,,,,,,,,,Так,Так,Скоріше так,28,Так,Software Developer,Так,Так,Так,Так,
49.8165|24.0017,49.8525|23.9880,,,,,,,,,,,Скоріше так,Скоріше так,Скоріше ні,25,Ні,Інша ІТ спеціальність,Так,Важко відповісти,Скоріше так,Ні,
49.8155|24.0109,30.598498|50.453596,,,,,,,,,,,Так,Скоріше ні,Ні,26,Так,Software Developer,Так,Так,Скоріше так,Скоріше так,
50.4349|30.5967,50.4513|30.5980,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,26,Так,Інша ІТ спеціальність,Ні,Ні,Ні,Так,
50.4879|30.5807,50.4309|30.4869,Погане,Погане,Погане,Нормальне,Погане,Погане,Погане,Погане,Погане,Voorschoten,Так,Так,Ні,27,Так,BA/QA,Скоріше ні,Скоріше ні,Так,Так,
50.5427|30.1966,50.4669|30.5121,Погане,Погане,Найкраще,Нормальне,Погане,Нормальне,Погане,Погане,Нормальне,,Так,Так,Скоріше ні,22,Ні,Software Developer,Так,Так,Так,Так,
Львів,49.8353|24.0323,,,,,,,,,,,Так,Так,Скоріше так,24,Ні,Інша ІТ спеціальність,Так,Важко відповісти,Скоріше так,Так,
50.5275|30.5984,50.4593|30.4897,,,,,,,Нормальне,,,,Скоріше так,Так,Ні,23,Так,Software Developer,Так,Скоріше так,Скоріше так,Так,
50.5143|30.2454,50.4444|30.5200,Найкраще,Нормальне,Найкраще,Найкраще,Нормальне,Погане,Нормальне,Погане,Нормальне,"Минулого року купив квартиру в Ірпіні, цього року туди переїдджаємо з дружиною))",Так,Так,Так,34,Ні,Спеціальність не пов'язана з ІТ,Скоріше так,Скоріше ні,Скоріше так,Так,
50.4401|30.3109,50.4590|30.4287,Нормальне,Погане,Погане,Погане,Погане,Погане,Погане,Нормальне,Погане,,Так,Так,Так,31,Ні,Project/Account Manager,Важко відповісти,Важко відповісти,Скоріше так,Так,
50.4550|30.5193,50.4308|30.4871,Важко відповісти,Важко відповісти,Важко відповісти,,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Ні,Ні,Так,27,Ні,BA/QA,Скоріше так,Ні,Ні,Ні,
50.4987|30.5113,50.4717|30.5159,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Скоріше ні,Так,Так,31,Так,Інша ІТ спеціальність,Скоріше ні,Скоріше так,Скоріше ні,Так,
50.1376|36.4145,50.1376|36.4145,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,Важко відповісти,,Так,Так,Так,31,Так,Software Developer,Так,Скоріше так,Скоріше ні,Так,
,,Погане,Нормальне,Погане,Погане,Нормальне,Погане,Погане,Погане,Погане,Виносити в пригороди тільки якщо туди буде проведене метро,Скоріше ні,Ні,Так,31,Так,Software Developer,Скоріше ні,Скоріше ні,Ні,Ні,
,,,,,,,,,,,,Ні,Ні,Так,23,Ні,Інша ІТ спеціальність,Скоріше так,Ні,Скоріше так,Скоріше ні,
48.9181|24.7089,48.9181|24.7089,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,Погане,,Ні,Ні,Так,28,Так,Software Developer,Так,Так,Так,Важко відповісти,
